epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,448.474,0.58354,5.83293,0.6674,0.86163,0.98547,0.80506,0.90363,0.92462,0.76489,0.35008,0.37155,0.27665,0.08783,0.6211,5.32426,0.63433,0.6965,1.03071,0.000234568,0.000234568,0.000234568
28,465.718,0.59076,5.79508,0.66947,0.87102,0.98392,0.89463,0.92523,0.9403,0.77012,0.37749,0.38224,0.27307,0.08584,0.61793,5.23375,0.63311,0.65094,1.02407,0.000218948,0.000218948,0.000218948
29,483.04,0.57883,5.74137,0.67078,0.86436,0.97604,0.91991,0.88256,0.93691,0.7648,0.4387,0.42039,0.30012,0.09677,0.62602,5.19073,0.63189,0.64311,1.0348,0.000203452,0.000203452,0.000203452
30,500.633,0.56059,5.69235,0.66962,0.87852,0.97277,0.92124,0.89434,0.93797,0.76297,0.39448,0.38158,0.27095,0.09376,0.62552,5.16589,0.62621,0.64868,1.03444,0.00018814,0.00018814,0.00018814
31,517.856,0.58258,5.59198,0.66614,0.86007,0.98083,0.87048,0.9125,0.93364,0.76791,0.45021,0.41036,0.3119,0.09521,0.62023,5.16806,0.62809,0.65828,1.02321,0.000173073,0.000173073,0.000173073
32,535.828,0.57761,5.58057,0.66257,0.83769,0.98021,0.82682,0.93272,0.91785,0.74579,0.47543,0.50324,0.36257,0.11159,0.61463,5.07836,0.62668,0.65397,1.02561,0.000158311,0.000158311,0.000158311
33,554.005,0.54465,5.57073,0.66504,0.83967,0.97084,0.91896,0.89828,0.93745,0.75889,0.44596,0.44959,0.3466,0.10599,0.62502,5.05308,0.62606,0.61875,1.03472,0.000143912,0.000143912,0.000143912
34,571.625,0.58486,5.55269,0.66431,0.87254,0.98831,0.92562,0.92012,0.94852,0.77606,0.47504,0.46288,0.35812,0.10747,0.61878,5.07056,0.62456,0.61942,1.02667,0.000129932,0.000129932,0.000129932
35,589.136,0.56792,5.46821,0.66485,0.84383,0.96888,0.86477,0.91956,0.9391,0.76799,0.47674,0.45464,0.34456,0.10386,0.61518,5.03582,0.62596,0.63133,1.02221,0.000116427,0.000116427,0.000116427
36,606.686,0.54591,5.45794,0.66415,0.8431,0.96346,0.86863,0.95013,0.94552,0.78112,0.48831,0.47508,0.36445,0.10423,0.61717,5.0299,0.62497,0.60172,1.02142,0.000103451,0.000103451,0.000103451
37,624.258,0.57558,5.41334,0.66005,0.81961,0.97697,0.91033,0.90922,0.94081,0.77504,0.47001,0.45345,0.3441,0.10917,0.61525,4.98256,0.62289,0.61193,1.01857,9.10534e-05,9.10534e-05,9.10534e-05
38,641.869,0.54121,5.43912,0.66214,0.80541,0.9649,0.90961,0.91802,0.94624,0.78239,0.48044,0.46593,0.33763,0.1074,0.61272,4.96339,0.62105,0.61167,1.01768,7.92844e-05,7.92844e-05,7.92844e-05
